"Biden percentage of presidential vote, error by state/district",,,,
,,,,
,Polling 11/3*,Actual 11/5+,Diff (% pts),Abs (% pts)
Alabama,37.8,36.3,-1.5%,1.5%
Alaska,43.6,33.0,-10.6%,10.6%
Arizona,48.7,50.5,1.8%,1.8%
Arkansas,36.2,34.5,-1.7%,1.7%
California,61.6,65.3,3.7%,3.7%
Colorado,53.6,55.4,1.8%,1.8%
Connecticut,58.6,58.6,0.0%,0.0%
Delaware,58.9,58.8,-0.1%,0.1%
District of Columbia,90.8,92.2,1.4%,1.4%
Florida,49.1,47.8,-1.3%,1.3%
Georgia,48.5,49.1,0.6%,0.6%
Hawaii,64.3,63.7,-0.6%,0.6%
Idaho,38.5,33.2,-5.3%,5.3%
Illinois,55.0,55.2,0.2%,0.2%
Indiana,42.0,39.2,-2.8%,2.8%
Iowa,46.3,44.9,-1.4%,1.4%
Kansas,41.0,41.1,0.1%,0.1%
Kentucky,39.9,35.6,-4.3%,4.3%
Louisiana,37.1,39.8,2.7%,2.7%
Maine,53.3,53.8,0.5%,0.5%
Maryland,63.1,63.1,0.0%,0.0%
Massachusetts,64.6,66.3,1.7%,1.7%
ME-1,57.6,60.0,2.4%,2.4%
ME-2,49.1,44.5,-4.6%,4.6%
Michigan,51.2,50.4,-0.8%,0.8%
Minnesota,51.8,52.5,0.7%,0.7%
Mississippi,39.6,39.2,-0.4%,0.4%
Missouri,43.6,41.3,-2.3%,2.3%
Montana,45.4,40.6,-4.8%,4.8%
NE-1,45.8,40.9,-4.9%,4.9%
NE-2,50.0,54.6,4.6%,4.6%
Nebraska,42.5,39.1,-3.4%,3.4%
Nevada,49.7,49.3,-0.4%,0.4%
New Hampshire,53.9,52.6,-1.3%,1.3%
New Jersey,58.4,60.6,2.2%,2.2%
New Mexico,53.9,54.2,0.3%,0.3%
New York,62.3,58.3,-4.0%,4.0%
North Carolina,48.9,48.7,-0.2%,0.2%
North Dakota,38.7,31.7,-7.0%,7.0%
Ohio,46.8,45.2,-1.6%,1.6%
Oklahoma,36.2,32.3,-3.9%,3.9%
Oregon,58.7,56.9,-1.8%,1.8%
Pennsylvania,50.2,48.1,-2.1%,2.1%
Rhode Island,62.9,59.4,-3.5%,3.5%
South Carolina,44.5,43.3,-1.2%,1.2%
South Dakota,39.0,35.7,-3.3%,3.3%
Tennessee,41.4,37.4,-4.0%,4.0%
Texas,47.4,46.3,-1.1%,1.1%
Utah,42.1,38.0,-4.1%,4.1%
Vermont,66.5,64.9,-1.6%,1.6%
Virginia,53.7,53.8,0.1%,0.1%
Washington,59.4,60.2,0.8%,0.8%
West Virginia,33.5,29.6,-3.9%,3.9%
Wisconsin,52.1,49.4,-2.7%,2.7%
Wyoming,30.8,26.6,-4.2%,4.2%
,,,,
AVERAGE,,,-1.4%,2.3%
,,,,
"* FiveThirtyEight.com, presidential_poll_averages_2020.csv, pct_trend_adjusted, 11/3/2020",,,,
"+ washingtonpost.com, 11/5/2020, 3:45 EST",,,,